MCQ1,MCQ2,final,final_linear,final_poly2,final_poly3,final_poly4,final_poly8,final_poly10
85,80,84,77.57225433526011,77.38329976943064,79.91018718999817,78.72882735745179,80.47301871758827,80.34965595565154
90,85,73,80.59537572254335,81.40206636896946,83.44435648064439,81.32979918923456,73.79948350101768,73.82760893102386
60,50,67,59.433526011560694,59.87139188045407,58.332836440473386,56.75254851572208,58.96953714531992,59.12287952058978
90,60,78,65.47976878612717,64.45141989901649,63.130693626415905,63.393895449369666,60.52758662842098,60.557890464537195
95,95,90,86.64161849710982,90.38255552636939,87.13106042341406,88.2667000202805,89.97733304517169,89.97697644264554
90,60,75,65.47976878612717,64.45141989901649,63.130693626415905,63.393895449369666,60.52758662842098,60.557890464537195
60,60,49,65.47976878612717,64.45141989901649,63.130693626415905,63.393895449369666,60.52758662842098,60.557890464537195
55,40,59,53.38728323699422,56.548638472988074,59.87439474619919,61.765210545343734,58.79959714889992,58.96803403467584
95,65,77,68.5028901734104,67.21291188745886,66.98233527225437,67.8939065204654,67.15568996139336,67.00895630377636
65,70,68,71.52601156069363,70.28872252867535,71.30934948319987,72.1394819940333,75.36259674963367,75.39737083722139
65,75,74,74.54913294797687,73.67885182266595,75.74190915664883,75.76335203853932,81.02949532053026,81.18922990447027
45,50,52,59.433526011560694,59.87139188045407,58.332836440473386,56.75254851572208,58.96953714531992,59.12287952058978
85,70,90,71.52601156069363,70.28872252867535,71.30934948319987,72.1394819940333,75.36259674963367,75.39737083722139
60,65,54,68.5028901734104,67.21291188745886,66.98233527225437,67.8939065204654,67.15568996139336,67.00895630377636
55,45,60,56.41040462427746,58.05285585033401,58.12627510557613,56.99865499123348,60.8350780405417,60.39851955021004
65,60,40,65.47976878612717,64.45141989901649,63.130693626415905,63.393895449369666,60.52758662842098,60.557890464537195
